x,y,t
24.949005240260103,61.09008041776753,5908.75
24.945803312719853,61.09063164100019,5909.0
24.9426013851796,61.091182864232856,5909.25
24.93939945763935,61.09173408746552,5909.5
24.936197530099097,61.09228531069818,5909.75
24.932995602558847,61.09283653393084,5910.0
24.929793675018594,61.093387757163505,5910.25
24.926591747478344,61.09393898039617,5910.5
24.923389819938095,61.09449020362883,5910.75
24.92018789239784,61.09504142686149,5911.0
24.91698596485759,61.095592650094154,5911.25
24.91378403731734,61.09614387332682,5911.5
24.91058210977709,61.09669509655948,5911.75
24.907380182236835,61.09724631979214,5912.0
24.904178254696586,61.097797543024804,5912.25
24.900976327156332,61.098348766257466,5912.5
24.897774399616083,61.09889998949013,5912.75
24.894572472075833,61.09945121272279,5913.0
24.89137054453558,61.10000243595545,5913.25
24.88816861699533,61.100553659188115,5913.5
24.884966689455077,61.10110488242078,5913.75
24.881764761914827,61.10165610565344,5914.0
24.878562834374573,61.1022073288861,5914.25
24.875360906834324,61.102758552118765,5914.5
24.87215897929407,61.10330977535143,5914.75
24.86895705175382,61.10386099858409,5915.0
24.865755124213567,61.10441222181675,5915.25
24.8649397,61.1045526,5915.5
24.8649397,61.1045526,5915.75
24.8649397,61.1045526,5916.0
24.8649397,61.1045526,5916.25
24.8649397,61.1045526,5916.5
24.8649397,61.1045526,5916.75
24.8649397,61.1045526,5917.0
24.8649397,61.1045526,5917.25
24.8649397,61.1045526,5917.5
24.8649397,61.1045526,5917.75
24.8649397,61.1045526,5918.0
24.8649397,61.1045526,5918.25
24.8649397,61.1045526,5918.5
24.8649397,61.1045526,5918.75
24.8649397,61.1045526,5919.0
24.8649397,61.1045526,5919.25
24.8649397,61.1045526,5919.5
24.8649397,61.1045526,5919.75
24.8649397,61.1045526,5920.0
24.8649397,61.1045526,5920.25
24.8649397,61.1045526,5920.5
24.8649397,61.1045526,5920.75
24.8649397,61.1045526,5921.0
24.8649397,61.1045526,5921.25
24.8649397,61.1045526,5921.5
24.8649397,61.1045526,5921.75
24.8649397,61.1045526,5922.0
24.8649397,61.1045526,5922.25
24.8649397,61.1045526,5922.5
24.8649397,61.1045526,5922.75
24.8649397,61.1045526,5923.0
24.8649397,61.1045526,5923.25
24.8649397,61.1045526,5923.5
24.8649397,61.1045526,5923.75
24.8649397,61.1045526,5924.0
24.8649397,61.1045526,5924.25
24.8649397,61.1045526,5924.5
24.8649397,61.1045526,5924.75
